stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
B,podlse,pod,closed-form,64,,60,0.0001,5,all,0,3840,0.7128429203457706,0.7740307339275297,0.6240221957838745,0.4802486138520685,0.5013852845744872,0.39655234855889326,0,nan,nan,0,4365,9.281267404556274,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,linear,64,,-1,0.0001,5,all,0,3904,0.7420311688368553,0.8016470548164676,0.6699952941612192,0.45037794600936626,0.47588349178227923,0.39596951628920496,1158,0.5905863630402949,0.6029649376869202,1,3492,31.675718307495117,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,mlp,64,,-1,0.0001,5,all,0,32576,0.7119539371241819,0.8060537284515715,0.6772731203113734,0.44394824428076174,0.47145353458878897,0.39596951628920496,431,0.4646429025567001,0.6278122663497925,1,3492,20.00560426712036,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,cnn,64,,-1,0.0001,5,all,0,32800,0.7207178791641866,0.8054521537311715,0.6762795917240686,0.44552454120461277,0.48636429563796435,0.39596951628920496,423,0.48377660418703794,0.621200442314148,1,3492,21.44316554069519,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,gru,64,,-1,0.0001,5,all,0,19136,0.7251322830198187,0.8116696522227881,0.6865480792177573,0.4375160716930577,0.45922190654236467,0.39596951628920496,450,0.5090899645667715,0.633986234664917,1,3492,25.110857009887695,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,linear,64,,-1,0.0001,5,all,0,3904,0.7340224777046077,0.797004948325332,0.8287098450506616,0.4650046254992009,0.5509808994750542,0.46797302272275026,528,0.6761843242596105,0.6671726107597351,1,3492,19.326818466186523,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,mlp,64,,-1,0.0001,5,all,0,32576,0.7373188918094162,0.8140361017178146,0.8306486903006072,0.46063095989475394,0.6026694984929607,0.46797302272275026,407,0.5405575990813432,0.7234371304512024,1,3492,20.16478705406189,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,cnn,64,,-1,0.0001,5,all,0,32800,0.7302964525916132,0.8061589980751694,0.8247337246926858,0.4652586826131868,0.5900480061157903,0.46797302272275026,412,0.5850701096541283,0.6919007301330566,1,3492,21.99251699447632,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,gru,64,,-1,0.0001,5,all,0,19136,0.7418633564410081,0.8195988598427136,0.8311080863570722,0.45419503053140037,0.5956691838794959,0.46797302272275026,407,0.5690321640323801,0.71586012840271,1,3492,24.216090202331543,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,podlse,pod,closed-form,64,,120,0.0001,10,all,0,7680,0.687768045358213,0.7562225522933678,0.5945828926687692,0.49864077899134274,0.5211830475301111,0.39655234855889326,0,nan,nan,0,4365,9.339987516403198,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,linear,64,,-1,0.0001,10,all,0,7744,0.7113405789948444,0.771924370336669,0.6209069004493118,0.48186328472352036,0.49296664856474287,0.39596951628920496,1049,0.5431184127568379,0.5564911365509033,1,3492,29.35332441329956,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,mlp,64,,-1,0.0001,10,all,0,40256,0.7073462301051416,0.7834429787032882,0.6399304170801251,0.46847045082236277,0.4513912716407768,0.39596951628920496,423,0.44166646353294486,0.6014359593391418,1,3492,19.813724517822266,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,cnn,64,,-1,0.0001,10,all,0,53280,0.7166660601132822,0.7902750099501933,0.6512138339574963,0.4615324637186635,0.48376002765625736,0.39596951628920496,411,0.42756455133051396,0.5937544107437134,1,3492,21.285087823867798,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,gru,64,,-1,0.0001,10,all,0,19136,0.6949375346587622,0.7991981435135743,0.665950803419353,0.4542313772735882,0.4967107144736008,0.39596951628920496,463,0.45997490314820105,0.623343288898468,1,3492,25.579092741012573,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,linear,64,,-1,0.0001,10,all,0,7744,0.7079453068209968,0.7716336294772269,0.8051707303291633,0.4903343321084335,0.5684227219557255,0.46797302272275026,528,0.6479810263283065,0.6461002826690674,1,3492,19.174023389816284,4365,1521,4p5d_10ms_yaw_0_0_0,clean
