dataset,model,latent,variant,n_params,s_per_epoch,epochs_measured,compile_s,total_fit_s,peak_mem_mb,n_train,n_x,gpu
bl,CAE,128,deep,984387.0,0.47888438020211954,15,0.6203631836532926,7.183265703031793,273.324544,1798,13875,Tesla T4
circle,AE,128,default,66787506.0,0.31089194540400056,15,0.6730087811127305,4.663379181060009,1679.592448,284,32306,Tesla T4
circle,CAEJax,128,default,4257634.0,0.3589417711288358,15,2.3899678726835796,5.384126566932537,18.087936,284,32306,Tesla T4
bl,AEJax,256,half,29088051.0,0.43209678640123456,15,4.254788842145354,6.4814517960185185,18.087936,1798,13875,Tesla T4
bl,AE,256,double,122601267.0,3.00839233493122,15,1.2578874461740872,45.125885023968294,3097.161728,1798,13875,Tesla T4
bl,AEJax,256,fixed_sm,3615667.0,0.1463779674610123,15,1.1371625271392987,2.1956695119151846,18.087936,1798,13875,Tesla T4
bl,CAE,256,narrow,1325571.0,0.4106583288637921,15,0.5917750162538141,6.159874932956882,279.328768,1798,13875,Tesla T4
bl,CAEJax,256,default,2673923.0,0.3492970721330494,15,2.693949399678968,5.2394560819957405,18.087936,1798,13875,Tesla T4
bl,CAE,256,deep,1770947.0,0.4600822935967396,15,0.634005150773252,6.9012344039510936,289.408512,1798,13875,Tesla T4
circle,AE,256,default,134722354.0,0.5952935605309904,15,1.103433107957244,8.929403407964855,3311.167488,284,32306,Tesla T4
circle,CAEJax,256,default,8452066.0,0.36677492627253133,15,2.7124596314582354,5.50162389408797,18.087936,284,32306,Tesla T4
