stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,3,25,25,0.001,25,all,0,75,0.8011635723173504,0.8496911840772774,0.555711423228126,0.39997743874132524,0.4275067702618836,0.6602216749679577,3.0872857570648193,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,25,25,0.01,25,all,0,75,0.8013680266425439,0.8483900289187214,0.5518951533259084,0.40089195840369896,0.41965890003170686,0.6602216749679577,3.0975215435028076,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,25,25,0.1,25,all,0,75,0.8091625277325475,0.8480064085030312,0.5507700000060702,0.4013174986201982,0.3698973086710898,0.6602216749679577,3.075706958770752,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,50,50,1e-06,25,all,0,150,0.7911375714549681,0.8406662936565094,0.5292415457065176,0.41065613380713384,0.43299473577223235,0.6602216749679577,3.088970184326172,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,50,50,0.0001,25,all,0,150,0.7911375960321897,0.8406564461261773,0.5292126630376289,0.4106629174350122,0.4329226958874702,0.6602216749679577,3.0816662311553955,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,50,50,0.001,25,all,0,150,0.7911399777190308,0.8405696478885846,0.528958085019387,0.4107224331534987,0.4322745386356912,0.6602216749679577,3.1477863788604736,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,50,50,0.01,25,all,0,150,0.7913355900807887,0.8399240228471473,0.5270644757925755,0.41114233517306414,0.4263674008004414,0.6602216749679577,3.1475791931152344,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,50,50,0.1,25,all,0,150,0.7975787032333238,0.8405071288527282,0.5287747175606441,0.4100496048046198,0.39063227740527523,0.6602216749679577,3.1247973442077637,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,100,100,1e-06,25,all,0,300,0.7857309118562009,0.8382930880033963,0.5222809666808785,0.4135421052697272,0.4419174376279985,0.6602216749679577,3.114027738571167,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,100,100,0.0001,25,all,0,300,0.7857309721977476,0.8382693023071143,0.5222112035659824,0.4135634092464129,0.44183637063178943,0.6602216749679577,3.2023887634277344,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
