model,sweep,value,n_latent,learning_rate,weight_decay,batch_size,width,noise,n_params,train_loss,val_loss,test_mse_clean,test_rel_clean,n_epochs_run,fit_s
CAEJax,learning_rate,0.0003,32,0.0003,1e-06,32,1.0,0.0,379939.0,0.4282012666974749,0.47281357645988464,0.0006841267459094524,0.3902947212618427,365,100.60928296297789
AEJax,learning_rate,0.003,32,0.003,1e-06,32,1.0,0.0,7155411.0,0.13248375483921596,0.2501777112483978,0.0003522544866427779,0.2009613971380576,228,28.11393813905306
CAEJax,learning_rate,0.01,32,0.01,1e-06,32,1.0,0.0,379939.0,0.6379233769008091,0.6504419445991516,0.0009533703560009599,0.5438983632485362,400,110.08647224900778
AEJax,weight_decay,0.0,32,0.001,0.0,32,1.0,0.0,7155411.0,0.13028344086238317,0.2342691570520401,0.0003194895398337394,0.18226897521703928,277,29.712841853965074
CAEJax,weight_decay,1e-08,32,0.001,1e-08,32,1.0,0.0,379939.0,0.41298368998936247,0.4542851150035858,0.0006569823017343879,0.3748087994842476,274,76.87732859095559
AEJax,weight_decay,1e-06,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13227240528379167,0.2346222996711731,0.00031698544626124203,0.18084038832325808,400,48.969913362991065
CAEJax,weight_decay,1e-05,32,0.001,1e-05,32,1.0,0.0,379939.0,0.4050025599343436,0.4410209655761719,0.0006354670040309429,0.36253430916466717,230,64.76389723399188
AEJax,weight_decay,0.001,32,0.001,0.001,32,1.0,0.0,7155411.0,0.9376485688345773,0.9359108209609985,0.001582824275828898,0.9030022042478112,400,49.68797155097127
CAEJax,weight_decay,0.01,32,0.001,0.01,32,1.0,0.0,379939.0,1.0015859603881836,0.995664656162262,0.0017527221934869885,0.9999290687678959,85,24.87704950699117
AEJax,batch_size,16,32,0.001,1e-06,16,1.0,0.0,7155411.0,0.13031824145998275,0.23167209327220917,0.00031831167871132493,0.18159700473612087,358,82.00199272402097
CAEJax,batch_size,32,32,0.001,1e-06,32,1.0,0.0,379939.0,0.4122739178793771,0.4535760283470154,0.0006549374666064978,0.3736422198101766,271,74.94118416798301
AEJax,batch_size,128,32,0.001,1e-06,128,1.0,0.0,7155411.0,0.1370482019015721,0.2415613830089569,0.0003353792999405414,0.19133409294395629,395,19.929819888900965
CAEJax,batch_size,256,32,0.001,1e-06,256,1.0,0.0,379939.0,0.43446946144104004,0.4808652698993683,0.0006975054275244474,0.3979272671942985,400,105.92678701505065
AEJax,batch_size,1024,32,0.001,1e-06,1024,1.0,0.0,7155411.0,0.23813393712043762,0.3240916430950165,0.00044734703260473907,0.2552117519768594,400,8.64095302997157
CAEJax,width,0.25,32,0.001,1e-06,32,0.25,0.0,86371.0,0.6159952027457101,0.6354107856750488,0.0009047389030456543,0.5161540899991147,293,65.24600431707222
AEJax,width,0.75,32,0.001,1e-06,32,0.75,0.0,5363891.0,0.21393752098083496,0.3186621367931366,0.0004403571365401149,0.2512240120551215,353,38.686420404003
CAEJax,width,1.0,32,0.001,1e-06,32,1.0,0.0,379939.0,0.4124641077859061,0.4536627233028412,0.000655648997053504,0.3740481483594463,259,71.8065687159542
AEJax,width,2.0,32,0.001,1e-06,32,2.0,0.0,14362451.0,0.027207804577691213,0.08990991860628128,0.00012248687562532723,0.06987883643822404,400,85.69374205905478
CAEJax,width,3.0,32,0.001,1e-06,32,3.0,0.0,1416227.0,0.19982501438685826,0.25714629888534546,0.0003880555450450629,0.22138592255465075,217,127.50881762208883
AEJax,noise,0.0,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13227240528379167,0.2346222996711731,0.00031698544626124203,0.18084038832325808,400,48.70874260994606
CAEJax,noise,0.001,32,0.001,1e-06,32,1.0,0.001,379939.0,0.4116485459463937,0.4529654085636139,0.0006548529490828514,0.3735940025119486,274,75.81762852100655
AEJax,noise,0.01,32,0.001,1e-06,32,1.0,0.01,7155411.0,0.1310611367225647,0.23375876247882843,0.000318468693876639,0.18168650958238722,348,42.4881695919903
CAEJax,noise,0.03,32,0.001,1e-06,32,1.0,0.03,379939.0,0.4114807333265032,0.45322516560554504,0.0006549454992637038,0.3736462565001107,274,75.7779909139499
AEJax,noise,0.3,32,0.001,1e-06,32,1.0,0.3,7155411.0,0.19314326558794295,0.3120332360267639,0.00035066530108451843,0.20004497404429158,297,36.30773861496709
CAEJax,noise,1.0,32,0.001,1e-06,32,1.0,1.0,379939.0,0.7064136777605329,0.7670576572418213,0.0007294561946764588,0.415964743395909,107,29.94621535600163
