stage,model,latent,branch,r_field,r_sensor,r_sensor_used,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,n_train,n_test,run,tag
B,podlse,pod,closed-form,64,,120,10,all,0,7680,0.7549275428076881,0.8305431588136524,0.7790909922217533,0.23207692339544772,4.5610175132751465,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,10,all,0,7744,0.7831227297730061,0.8455174903898639,0.7987263226442086,0.23154603046073202,10.784718990325928,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,10,all,0,40256,0.7673932663127933,0.8336900161921221,0.783339752439102,0.23154603046073202,4.340693235397339,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,10,all,0,53280,0.7646751811431809,0.8448691304572656,0.7978828597497384,0.23154603046073202,4.550567150115967,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,10,all,0,19136,0.7860117186869374,0.8374339843702375,0.7882103468073616,0.23154603046073202,5.487929344177246,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,10,all,0,7744,0.7897759209949385,0.8372999181143798,0.877639549123043,0.3072115188437,6.406698942184448,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,10,all,0,40256,0.7790073971016969,0.831045981542336,0.8704287983467914,0.3072115188437,3.9132494926452637,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,10,all,0,53280,0.7889523040045292,0.8356727895946534,0.8747511385443361,0.3072115188437,4.143537759780884,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,10,all,0,19136,0.789372211108018,0.8459107627623552,0.8740626653896689,0.3072115188437,4.385661363601685,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,300,25,all,0,19200,0.7257036264164348,0.8393245096514069,0.7905226669468159,0.23207692339544772,4.683776617050171,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,25,all,0,19264,0.7641603640882979,0.840994656759071,0.7928424884440459,0.23154603046073202,8.218729734420776,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,25,all,0,63296,0.7757054450855723,0.8350508414709101,0.785110074093488,0.23154603046073202,4.048974275588989,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,25,all,0,114720,0.7608096895486317,0.8468226457345601,0.8004242222975069,0.23154603046073202,4.212827444076538,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,25,all,0,19136,0.75801266406956,0.8512135977913775,0.8061364894274052,0.23154603046073202,5.684127569198608,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,25,all,0,19264,0.7668185774035322,0.8394678909831831,0.8921199883825891,0.3072115188437,5.524575233459473,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,25,all,0,63296,0.7579341544315233,0.8347459787737177,0.8788434799027467,0.3072115188437,3.92353892326355,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,25,all,0,114720,0.7922383078090092,0.8427057542251624,0.8909804958048406,0.3072115188437,3.8584377765655518,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,25,all,0,19136,0.7719783538769768,0.8280694461704802,0.8624716724755194,0.3072115188437,4.371783494949341,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,600,50,all,0,38400,0.6892148012518123,0.8835894168102126,0.8481472886848472,0.23207692339544772,5.075057029724121,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,50,all,0,38464,0.7516275282027279,0.854455921950765,0.8103544862263882,0.23154603046073202,7.583005905151367,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,50,all,0,101696,0.765393430787176,0.8400406831153586,0.7916014472718232,0.23154603046073202,4.12226676940918,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,50,all,0,217120,0.7744248212120762,0.8518398499737634,0.8069511919589246,0.23154603046073202,4.214028358459473,4365,1521,4p5d_10ms_yaw_0_0_0,main
