stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
B,branched,pod,cnn,64,,-1,0.0001,2,all,0,20512,0.742605458017348,0.8113679496388339,0.6860498033895723,0.4378461379707221,0.4641183773989007,0.39596951628920496,11.917184352874756,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,2,all,0,19136,0.7326006611575849,0.8158733877108141,0.6934907435937556,0.4339954520375328,0.4749519256492907,0.39596951628920496,17.974294424057007,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,linear,64,,-1,0.0001,2,all,0,1600,0.7618489635059571,0.823467261087572,0.8547557794774423,0.4377364863445499,0.5317204235338554,0.46797302272275026,13.434176921844482,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,mlp,64,,-1,0.0001,2,all,0,27968,0.7465503661965316,0.8299879778113153,0.8491035877861117,0.4403053390746623,0.5749936746543725,0.46797302272275026,10.670103073120117,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,cnn,64,,-1,0.0001,2,all,0,20512,0.7499031075849256,0.8249982461780005,0.8425600150894437,0.4437672283801062,0.569816401890621,0.46797302272275026,11.466013669967651,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,gru,64,,-1,0.0001,2,all,0,19136,0.751568334828335,0.828066844070197,0.847269467975729,0.4395923102473785,0.5645464717873436,0.46797302272275026,11.274128913879395,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,podlse,pod,closed-form,64,,60,0.0001,5,all,0,3840,0.7128429203457706,0.7740307339275297,0.6240221957838745,0.4802486138520685,0.5013852845744872,0.39655234855889326,9.557670831680298,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,linear,64,,-1,0.0001,5,all,0,3904,0.7855313001322586,0.8354578175231635,0.7258353389113568,0.4106794784691083,0.3971215620397948,0.39596951628920496,16.03071928024292,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,5,all,0,32576,0.7127320797335248,0.8061357469037731,0.6774085775940444,0.4436930663923864,0.4665725303173918,0.39596951628920496,11.230163097381592,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,cnn,64,,-1,0.0001,5,all,0,32800,0.7297813486233415,0.8059944691465342,0.677175250817158,0.44470184170981303,0.4804122178869188,0.39596951628920496,10.58197808265686,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,5,all,0,19136,0.7351259318798291,0.8101501312499132,0.684038519765929,0.4387246343982221,0.44109370342088716,0.39596951628920496,14.405176639556885,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,linear,64,,-1,0.0001,5,all,0,3904,0.7365038047082634,0.7991994017558635,0.8311553412483847,0.462518915489156,0.546987065713655,0.46797302272275026,13.596885204315186,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,mlp,64,,-1,0.0001,5,all,0,32576,0.7181544157908658,0.807854496546998,0.8267024644118938,0.46181586071163655,0.5873310060212984,0.46797302272275026,10.619253158569336,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,cnn,64,,-1,0.0001,5,all,0,32800,0.7271636463970641,0.8098071356443763,0.8254268201532972,0.46547726758297775,0.6064343429343727,0.46797302272275026,10.65534234046936,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,gru,64,,-1,0.0001,5,all,0,19136,0.7342217594464203,0.8171392429706049,0.8317392353526423,0.4542355368751438,0.5874401361084279,0.46797302272275026,11.080472946166992,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
